Player,#,Class,Pos,Height,Weight,Hometown,High School,Team
Vincent Iwuchukwu,8,JR,F,7-1,235.0,"San Antonio, TX",Cole (TX); La Lumiere (IN); Southern California Academy (CA),St. John's (NY)
Sadiku Ibine Ayo,2,JR,F,6-7,210.0,"Asabi-Kumasi, Ghana",Our Saviour Lutheran (NY),St. John's (NY)
Brady Dunlap,44,SO,F,6-7,190.0,"Newhall, CA",Harvard-Westlake (CA),St. John's (NY)
RubÃ©n Prey,17,FR,F,6-10,230.0,"Lisbon, Portugal",Joventut Badalona (Spain),St. John's (NY)
Jaiden Glover,11,FR,G,6-5,205.0,"Brooklyn, NY",Roselle Catholic (NJ); The Patrick School (NJ),St. John's (NY)
Lefteris Liotopoulos,31,FR,G,6-5,200.0,"Thessaloniki, Greece",DEKA Academy (Greece),St. John's (NY)
Khaman Maker,14,FR,C,7-1,220.0,"Juba, South Sudan",SFBA Trinity Prep (NV),St. John's (NY)
Chaz Lanier,2,SR,G,6-4,175.0,"Nashville, TN",The Ensworth School,Tennessee
Zakai Zeigler,5,SR,G,5-9,160.0,"Long Island, NY",Our Saviour Lutheran School,Tennessee
Jordan Gainey,11,SR,G,6-4,175.0,"Tucson, AZ",South Kent HS,Tennessee
Igor Milicic Jr.,7,SR,G,6-10,224.0,"Rovinj, Croatia","ProGenius Ulm, Orange Academy Ratiopharm",Tennessee
Felix Okpara,34,JR,C,6-11,220.0,"Lagos, Nigeria",Hamilton Heights Christian (TN); Link Academy (MO),Tennessee
Jahmai Mashack,15,SR,G,6-4,192.0,"Fontana, CA",Etiwanda HS,Tennessee
Cade Phillips,12,SO,F,6-9,212.0,"Jacksonville, AL",Jacksonville (AL); Link Academy (MO),Tennessee
Darlinstone Dubar,8,SR,G,6-6,207.0,"Charlotte, NC",Scotland Campus (PA),Tennessee
Cameron Carr,43,SO,G,6-5,175.0,"Eden Prairie, MN",Manhattan (KS); Link Academy (MO),Tennessee
J.P. Estrella,13,SO,F,6-11,241.0,"Scarborough, ME",South Portland (ME); Brewster Academy (NH),Tennessee
Grant Hurst,23,JR,G,6-2,180.0,"Cleveland, TN",Cleveland HS,Tennessee
Bishop Boswell,3,FR,G,6-4,203.0,"Charlotte, NC",Myers Park (NC),Tennessee
Campbell Duncan,21,FR,G,6-6,200.0,"Austin, TX",Anderson (TX),Tennessee
Gavin Paull,24,FR,G,5-11,158.0,"Austin, TX","Westlake High School (Austin, TX)",Tennessee
Wade Taylor IV,4,SR,G,6-0,186.0,"Lancaster, TX",Lancaster HS,Texas A&M
Zhuric Phelps,1,SR,G,6-3,175.0,"Duncanville, TX",Duncanville HS,Texas A&M
Pharrel Payne,21,JR,F,6-9,255.0,"Cottage Grove, MN",Park (MN),Texas A&M
Henry Coleman III,15,SR,F,6-7,229.0,"Richmond, VA",Trinity Episcopal (VA),Texas A&M
Manny Obaseki,35,SR,G,6-4,189.0,"Allen, TX",John Paul III HS,Texas A&M
Andersson Garcia,11,SR,G,6-7,205.0,"Moca, Dominican Republic",Hamilton Heights (Tenn.) HS,Texas A&M
Solomon Washington,9,JR,F,6-7,225.0,"New Orleans, LA",Carver (LA),Texas A&M
C.J. Wilcher,10,SR,G,6-5,195.0,"Plainfield, NJ",Roselle Catholic HS,Texas A&M
Hayden Hefner,2,SR,G,6-6,182.0,"Nederland, TX",Nederland HS,Texas A&M
Jace Carter,0,SR,G,6-5,215.0,"Titusville, FL",Astronaut HS,Texas A&M
Chris McDermott,14,FR,F,6-7,225.0,"Houston, TX","Booker T. Washington (Houston, TX)",Texas A&M
Jaelyn Lee,24,SO,G,6-6,195.0,"Paris, TX",Paris (TX),Texas A&M
Rob Dockery,3,FR,G,6-6,205.0,"Washington, DC",Jackson-Reed (DC),Texas A&M
JT Toppin,15,SO,F,6-9,210.0,"Dallas, TX",Oak Cliff Faith Family Academy (TX),Texas Tech
Darrion Williams,5,JR,F,6-6,210.0,"Las Vegas, NV",Bishop Gorman (NV),Texas Tech
Chance McMillian,0,SR,G,6-2,170.0,"Vallejo, CA",Golden State Prep,Texas Tech
Christian Anderson,4,FR,G,6-2,165.0,"Atlanta, GA",The Lovett School (GA); Oak Hill Academy (VA),Texas Tech
Elijah Hawkins,3,SR,G,5-11,160.0,"Washington, DC",Dematha Catholic HS,Texas Tech
Kevin Overton,1,SO,G,6-5,180.0,"Oklahoma City, OK",Midwest City (OK); Norman North (OK); Sunrise Christian (KS),Texas Tech
Kerwin Walton,24,SR,G,6-5,205.0,"Hopkins, MN",Hopkins HS,Texas Tech
Federiko Federiko,33,SR,C,6-11,220.0,"Helsinki, Finland",First Love Christian (PA),Texas Tech
Devan Cambridge,35,SR,G,6-6,215.0,"Nashville, TN",Hillcrest Prep,Texas Tech
Eemeli Yalaho,23,SO,F,6-8,240.0,"JyvÃ¤skylÃ¤, Finland",Western Reserve Academy (OH),Texas Tech
Jack Francis,10,JR,G,6-3,185.0,"Austin, TX",Austin Anderson (TX),Texas Tech
Leon Horner,6,FR,F,6-4,215.0,"Dallas, TX",Frisco Memorial (TX); Dynamic Prep (TX),Texas Tech
Corbin Green,22,JR,F,6-5,230.0,"Midlothian, TX",Midlothian (TX); USAFA Prep School,Texas Tech
Tayton Conerway,12,SR,G,6-3,186.0,"Burleson, TX",Burleson Centennial (TX),Troy
Myles Rigsby,4,SO,F,6-5,190.0,"Irving, TX",Irving MacArthur (TX); O.D. Wyatt (TX),Troy
Thomas Dowd,1,SO,F,6-8,225.0,"Dothan, AL",Dothan (AL),Troy
Jackson Fields,15,JR,F,6-8,210.0,"Missouri City, TX",Elkins (TX),Troy
Marcus Rigsby Jr.,2,JR,G,6-5,185.0,"Irving, TX",Irving MacArthur (TX); O.D. Wyatt (TX),Troy
Cooper Campbell,3,FR,G,6-2,185.0,"Puyallup, WA",Elite Prep (WA); Phhoenix Prep (AZ),Troy
Theo Seng,33,SR,F,6-9,220.0,"Davis, CA",Davis (CA),Troy
Victor Valdes,11,SO,F,6-7,258.0,"Monterrey, Mexico",Zentro Basket (Spain),Troy
Jerrell Bellamy,10,JR,F,6-9,210.0,"Phenix City, AL",Phenix City Central (AL),Troy
Randarius Jones,24,SR,C,6-7,235.0,"Monroe, LA",Carroll (LA),Troy
Kerrington Kiel,0,FR,F,6-6,185.0,"Birmingham, AL",Ramsay (AL),Troy
Braydon Whitaker,21,SR,G,6-0,185.0,"Slocomb, AL",Slocomb (AL),Troy
Jackson Porch,20,FR,G,6-0,175.0,"Guntersville, AL",Guntersville (AL),Troy
Kameryn Mitchell,14,JR,G,6-4,185.0,"Dothan, AL",Houston Academy (AL),Troy
Aniwaniwa Tait-Jones,12,SR,F,6-6,200.0,"Wellington, New Zealand",St. Patrick's College (New Zealand),UC-San Diego
Tyler McGhie,13,SR,G,6-5,195.0,"Denton, TX",Guyer HS,UC-San Diego
Hayden Gray,3,SR,G,6-4,190.0,"San Diego, CA",Santa Fe Christian (CA),UC-San Diego
Nordin Kapic,24,JR,F,6-8,245.0,"Vienna, Austria",,UC-San Diego
Justin Rochelin,5,SO,G,6-5,190.0,"Encino, CA",Heritage Christian (CA),UC-San Diego
Chris Howell,8,JR,G,6-6,185.0,"Sandiego, CA",Torrey Pines (CA),UC-San Diego
Aidan Burke,20,SO,G,6-3,190.0,"Los Gatos, CA",Archbishop Mitty (CA); Phillips Exeter (NH),UC-San Diego
Maximo Milovich,33,SR,C,6-8,213.0,"Buenos Aires, Argentina",Colegio Carmen Arriola de MarÃ­n,UC-San Diego
Cade Pendleton,4,JR,F,6-10,210.0,"Chattanooga, TN",East Hamilton (TN),UC-San Diego
Jasen Brooks,11,SO,G,6-0,195.0,"Cleveland, TN",Cleveland (TN),UC-San Diego
Ryder Elisaldez,1,FR,G,6-3,175.0,"Las Vegas, NV",Bishop Gorman (NV),UC-San Diego
Yaqub Mir,22,SO,G,6-2,175.0,"Granite Bay, CA",Granite Bay (CA),UC-San Diego
Milos Vicentic,31,SR,F,6-7,220.0,"Belgrade, Serbia",OKK Belgrade (Serbia),UC-San Diego
Tyler Bilodeau,34,JR,F,6-9,220.0,"Kennewick, WA",Kamiakin (WA),UCLA
Eric Dailey Jr.,3,SO,F,6-8,230.0,"Palmetto, FL",IMG Academy (FL),UCLA
Sebastian Mack,12,SO,G,6-3,200.0,"Chicago, IL",Durango (NV); Coronado (NV),UCLA
Skyy Clark,55,JR,G,6-3,200.0,"Los Angeles, CA",Heritage Christian (CA); Montverde Academy (FL),UCLA
Kobe Johnson,0,SR,F,6-5,170.0,"Milwaukee, WI",Nicolet (WI),UCLA
Dylan Andrews,2,JR,G,6-2,170.0,"Gardena, CA",Windward School (CA); AZ Compass Prep (AZ),UCLA
Aday Mara,15,SO,C,7-3,240.0,"Zaragoza, Spain",IES El Picarral (Spain),UCLA
Lazar Stefanovic,10,SR,G,6-7,186.0,"Belgrade, Serbia",Sportska gimnazija (Serbia),UCLA
Trent Perry,1,FR,G,6-4,180.0,"West Covina, CA",Harvard-Westlake School (CA),UCLA
William Kyle III,24,JR,F,6-9,215.0,"Bellevue, NE",Bellevue West (NE),UCLA
Dominick Harris,8,SR,G,6-3,190.0,"Murrieta, CA",Rancho Christian School,UCLA
Jack Seidler,30,SO,G,6-4,190.0,"Marlboro, NJ",Marlboro (NJ),UCLA
Solomon Ball,1,SO,G,6-3,185.0,"Leesburg, VA",St. James School (MD); Brewster Academy (NH),UConn
Alex Karaban,11,JR,F,6-8,210.0,"Southborough, MA",Algonquin Regional (MA); New Hampton (NH); IMG Academy (FL),UConn
Liam McNeeley,30,FR,F,6-7,210.0,"Richardson, TX",Pearce (TX); John Paul II (TX); Montverde Academy (FL),UConn
Tarris Reed Jr.,5,JR,F,6-10,260.0,"St. Louis, MO",Chaminade Prep (MO); Link Year Prep (MO),UConn
Hassan Diarra,10,SR,G,6-2,197.0,"Queens, NY",Putnam Science Academy,UConn
Samson Johnson,35,SR,F,6-10,205.0,"LomÃ©, Togo",The Patrick School,UConn
Jaylin Stewart,3,SO,F,6-7,205.0,"Seattle, WA",Garfield (WA),UConn
Aidan Mahaney,20,JR,G,6-3,180.0,"Lafayette, CA",Campolindo (CA),UConn
Jayden Ross,23,SO,F,6-7,195.0,"Bristow, VA",St. James School (MD); Long Island Lutheran (NY),UConn
Ahmad Nowell,0,FR,G,6-0,195.0,"Philadelphia, PA",Imhotep (PA),UConn
Isaiah Abraham,4,FR,F,6-7,205.0,"Gainesville, VA",Highland School (VA); St. Paul VI (VA),UConn
Youssouf Singare,24,SO,C,6-10,220.0,"Bamako, Mali",Our Saviour Lutheran (NY),UConn
RJ Davis,4,SR,G,6-0,160.0,"White Plains, NY",Archbishop Stepinac HS,UNC
Ian Jackson,11,FR,G,6-4,190.0,"Bronx, NY",Our Savior Lutheran (NY),UNC
Seth Trimble,7,JR,G,6-3,192.0,"Menomonee Falls, WI",Menomonee Falls (WI),UNC
Elliot Cadeau,3,SO,G,6-1,180.0,"West Orange, NJ",Bergen Catholic (NJ); Link Academy (MO),UNC
Ven-Allen Lubin,22,JR,F,6-8,226.0,"Orlando, FL",Orlando Christian (FL),UNC
Drake Powell,9,FR,G,6-6,195.0,"Pittsboro, NC",Northwood (NC),UNC
Jae'lyn Withers,24,SR,F,6-8,230.0,"Charlotte, NC",Cleveland Heights HS,UNC
Jalen Washington,13,JR,F,6-10,225.0,"Gary, IN",West Side (IN),UNC
Cade Tyson,5,JR,F,6-7,200.0,"Monroe, NC",Carmel Christian (NC),UNC
Tyzhaun Claude,0,SR,F,6-8,240.0,"Goldsboro, NC",Goldsboro (NC),UNC
James Brown,2,FR,F,6-10,215.0,"Aurora, IL",St. Rita HS (IL); Link Academy (MO),UNC
Dante Mayo Jr.,30,FR,G,6-1,175.0,"Gaithersburg, MD",Richard Montgomery (MD),UNC
Russell Hawkins,14,SO,G,6-1,175.0,"Charlotte, NC",Mallard Creek (NC),UNC
John Holbrook,15,FR,F,6-8,230.0,"Hickory, NC",Hickory (NC),UNC
Donovan Newby,1,SR,G,6-1,190.0,"Chicago Heights, IL",Bloom HS,UNC Wilmington
Khamari McGriff,21,SR,F,6-8,175.0,"Tallahaassee, FL",James S. Rickards HS,UNC Wilmington
Harlan Obioha,55,JR,C,7-0,280.0,"Hoxie, KS",Hoxie (KS),UNC Wilmington
Bo Montgomery,0,SR,G,6-5,180.0,"Memphis, TN",Lausanne Collegiate HS,UNC Wilmington
Sean Moore,3,SR,G,6-4,175.0,"Columbus, OH",Reynoldsburg (OH),UNC Wilmington
Nolan Hodge,4,JR,G,6-7,180.0,"Greensboro, NC",Northern Guilford (NC),UNC Wilmington
Noah Ross,5,JR,G,6-7,200.0,"Apex, NC",Trinity Academy (NC),UNC Wilmington
Joshua Williams,7,JR,G,6-5,190.0,"Montgomery, AL",Lanier (AL); Pinson Valley (AL); We Are United Prep (MO),UNC Wilmington
Josh Corbin,32,SR,G,6-3,190.0,"Gahanna, OH",Gahanna Lincoln HS,UNC Wilmington
Elijah Jamison,2,JR,G,6-3,196.0,"Louisburg, NC",Louisburg (NC); Liberty Heights (NC),UNC Wilmington
Makoi Mabor,13,FR,F,6-11,240.0,"Rumbek, South Sudan",Gaston Day School (NC),UNC Wilmington
Jake Murphy,8,JR,G,6-4,200.0,"Phoenix, AZ",Phoenix Prep,UNC Wilmington
Shane Anthony,12,SO,G,6-2,170.0,"Raleigh, NC",Crossroads Christian (NC),UNC Wilmington
JoJo Fullwood,22,JR,G,6-2,185.0,"Burgaw, NC",Pender (NC),UNC Wilmington
Kendell Cave,9,SO,F,6-5,195.0,"Wallace, NC",Northwood Temple Academy (NC),UNC Wilmington
Ian Martinez,4,SR,G,6-3,181.0,"Heredia, Costa Rica",JSerra Catholic HS,Utah State
Mason Falslev,12,SO,G,6-3,190.0,"Benson, UT",Sky View (UT),Utah State
Dexter Akanno,7,SR,G,6-4,210.0,"Valencia, CA",Blair Academy,Utah State
Deyton Albury,13,SR,G,6-2,190.0,"Nassau, Bahamas",Temple Christian (Bahamas); Sunrise Christian (KS); Believe Prep (SC),Utah State
Karson Templin,22,SO,F,6-8,217.0,"Fairview, TX",Lovejoy (TX),Utah State
Drake Allen,8,SR,G,6-4,190.0,"Eagle Mountain, UT",Westlake (UT),Utah State
Aubin Gateretse,21,SR,F,6-11,210.0,"Charleroi, Belgium",Calusa Prep School,Utah State
Tucker Anderson,2,SO,F,6-9,190.0,"Centerton, AR",Bentonville West (AR),Utah State
Isaac Johnson,20,JR,C,7-0,225.0,"American Fork, UT",American Fork HS,Utah State
Jordy Barnes,5,FR,G,6-3,160.0,"Holladay, UT",Olympus (UT),Utah State
Isaac Davis,23,FR,F,6-8,240.0,"Idaho Falls, ID",Hillcrest (ID),Utah State
Jaxon Smith,3,FR,G,6-2,188.0,"Bountiful, UT",Woods Cross (UT),Utah State
Braden Housley,0,JR,G,6-4,180.0,"Lehi, UT",Skyridge (UT),Utah State
Max Shulga,11,SR,G,6-4,197.0,"Kyiv, Ukraine",Basketball School of Excellence,VCU
Joseph Bamisile,22,SR,G,6-4,195.0,"Chesterfield, VA",Monacan HS,VCU
Phillip Russell,1,SR,G,5-10,165.0,"St. Louis, MO",Vashon HS,VCU
Jack Clark,4,SR,G,6-8,182.0,"Cheltenham, PA",Cheltenham HS,VCU
Zeb Jackson,2,SR,G,6-5,180.0,"Toledo, OH",Maumee Valley (OH),VCU
Christian Fermin,21,JR,C,6-10,215.0,"Tobyhanna, PA",Pocono Mountain West (PA),VCU
Luke Bamgboye,9,FR,F,6-10,200.0,"London, United Kingdom",Our Lady of Mount Carmel (MD); Bella Vista Prep (AZ); AZ Compass Prep (AZ),VCU
Michael Belle,8,SO,F,6-7,215.0,"London, United Kingdom",SIG Strasbourg (France),VCU
Brandon Jennings,0,FR,G,6-4,175.0,"Richmond, VA",St. Christopher's School (VA),VCU
Terrence Hill Jr.,6,FR,G,6-3,180.0,"Portland, OR",Roosevelt (OR); AZ Compass Prep (AZ),VCU
Alphonzo Billups III,5,SO,G,6-7,180.0,"Richmond, VA",Varina (VA),VCU
Obinnaya Okafor,7,SO,F,6-9,216.0,"Hampton, VA",Bethel (VA),VCU
Jason Edwards,1,JR,G,6-1,170.0,"Atlanta, GA",Parkview (GA),Vanderbilt
Tyler Nickel,5,JR,F,6-7,200.0,"Harrisonberg, VA",East Rockingham (VA),Vanderbilt
Devin McGlockton,99,JR,F,6-7,220.0,"Cumming, GA",South Forsyth (GA),Vanderbilt
A.J. Hoggard,11,SR,G,6-3,220.0,"Coatesville, PA",Huntington Prep HS,Vanderbilt
Jaylen Carey,22,SO,F,6-8,245.0,"Davie, FL",Westminster Academy (FL),Vanderbilt
MJ Collins,2,JR,G,6-4,190.0,"Clover, SC",Westminster Catawba Christian (SC); Combine Academy (NC),Vanderbilt
Chris Manon,30,SR,G,6-5,195.0,"New Milford, NJ",Saint Joseph Regional HS,Vanderbilt
Tyler Tanner,3,FR,G,6-0,170.0,"Brentwood, TN",Brentwood Academy (TN),Vanderbilt
Grant Huffman,4,SR,G,6-3,185.0,"Aurora, OH",St. Edward's HS,Vanderbilt
"JaQualon ""JQ"" Roberts",24,SO,F,6-8,220.0,"Bloomington, IN",Bloomington North (IN),Vanderbilt
Jordan Williams,10,JR,G,6-3,215.0,"Houston, TX",Kinkaid School (TX); Second Baptist (TX),Vanderbilt
Miles Keeffe,25,JR,G,6-5,185.0,"Novato, CA",The Branson School (CA); Southern California Academy (CA),Vanderbilt
Graham Calton,7,SR,G,6-5,200.0,"Charlotte, NC",Charlotte Latin HS,Vanderbilt
Coleson Messer,15,SO,G,6-4,210.0,"Dallas, TX",Highland Park (TX),Vanderbilt
Hollman Smith,21,SR,G,6-0,180.0,"Falls Church, VA",Tilton School,Vanderbilt
John Tonje,9,SR,G,6-5,222.0,"Omaha, NE",Omaha Central HS,Wisconsin
John Blackwell,25,SO,G,6-4,194.0,"Highland Park, MI",Brother Rice (MI),Wisconsin
Steven Crowl,22,SR,F,7-0,217.0,"Eagan, MN",Eastview HS,Wisconsin
Nolan Winter,31,SO,F,6-11,220.0,"Lakeville, MN",Lakeville North (MN),Wisconsin
Max Klesmit,11,SR,G,6-3,180.0,"Neenah, WI",Neenah HS,Wisconsin
Kamari McGee,4,SR,G,6-0,180.0,"Racine, WI",Racine St. Catherine's HS,Wisconsin
Carter Gilmore,7,SR,F,6-7,215.0,"Hartland, WI",Arrowhead HS,Wisconsin
Xavier Amos,13,JR,F,6-8,210.0,"Chicago, IL",Whitney Young (IL),Wisconsin
Jack Janicki,33,FR,G,6-5,190.0,"White Bear Lake, MN",White Bear Lake (MN),Wisconsin
Markus Ilver,35,SR,F,6-8,219.0,"Tallinn, Estonia",Western Reserve Academy,Wisconsin
Riccardo Greppi,18,FR,F,6-10,255.0,"Lecco, Italy",Villafrut Verona (Italy),Wisconsin
Jack Robison,2,FR,F,6-5,190.0,"Lakeville, MN",Lakeville North (MN),Wisconsin
Isaac Gard,15,JR,G,6-2,165.0,"Oregon, WI",Oregon (WI),Wisconsin
Camren Hunter,3,JR,G,6-3,200.0,"Bryant, AR",Bryant HS,Wisconsin
Daniel Freitag,5,FR,G,6-2,195.0,"Bloomington, MN",Breck (MN),Wisconsin
Chris Hodges,21,JR,F,6-9,239.0,"Schaumburg, IL",Schaumburg HS,Wisconsin
Aidan Konop,14,FR,G,6-2,195.0,"Sussex, WI",Sussex Hamilton (WI),Wisconsin
Corey Tripp,10,SR,G,6-2,195.0,"Medina, OH",Medina HS,Wofford
Kyler Filewich,14,SR,C,6-9,250.0,"Winnipeg, Canada",Orangeville Prep,Wofford
Dillon Bailey,2,SR,G,6-2,185.0,"Bentonville, AR",Bentonville West (AR),Wofford
Justin Bailey,5,JR,G,6-3,185.0,"Taylors, SC",Blue Ridge (SC),Wofford
Jackson Sivills,0,SR,G,6-6,200.0,"Paducah, KY",McCracken County HS,Wofford
Jeremy Lorenz,32,SO,F,6-8,220.0,"Brillion, WI",Brillion (WI),Wofford
Luke Flynn,4,FR,G,6-1,185.0,"Marietta, GA",Walton (GA),Wofford
Anthony Arrington,30,JR,G,6-2,190.0,"Atlanta, GA",The Galloway School (GA),Wofford
Kahmare Holmes,11,FR,G,6-3,205.0,"Charlotte, NC",Lake Norman Christian (NC); Archer (GA),Wofford
Belal El Shakery,24,SO,F,6-8,230.0,"Alexandria, Egypt",The Winchendon School (MA),Wofford
Cannon Richards,7,FR,F,6-7,205.0,"Atlanta, GA",Whitefield Academy (GA); Kell (GA),Wofford
Don Douglass,34,SO,F,6-10,215.0,"Spartanburg, SC",Spartanburg Day (SC); Fork Union (VA),Wofford
Ryan Conwell,7,JR,G,6-4,195.0,"Indianapolis, IN",Pike (IN),Xavier
Zach Freemantle,32,SR,F,6-9,225.0,"Teaneck, NJ",Bergen Catholic HS,Xavier
Dailyn Swain,3,SO,F,6-7,200.0,"Columbus, OH",Columbus Africentric Early College (OH),Xavier
Dayvion McKnight,20,SR,G,6-1,190.0,"Shelbyville, KY",Collins HS,Xavier
Marcus Foster,1,SR,G,6-4,200.0,"Atlanta, GA",Drew Charter HS,Xavier
Dante Maddox Jr.,21,SR,G,6-2,195.0,"Chicago Heights, IL",Bloom Township HS,Xavier
Jerome Hunter,2,SR,F,6-7,215.0,"Pickerington, OH",Pickerington North HS,Xavier
John Hugley IV,4,SR,F,6-9,240.0,"Cleveland, OH",Brush HS,Xavier
Trey Green,0,SO,G,6-0,168.0,"Charlotte, NC",Chambers (NC); Link Academy (MO); Prolific Prep (CA),Xavier
Cam'Ron Fletcher,11,SR,F,6-6,215.0,"St Louis, MO",Vashion HS,Xavier
Brad Colbert,45,SR,G,6-2,185.0,"Loveland, OH",International Sports Academy,Xavier
Ian Sabourin,31,JR,G,6-4,210.0,"Hamilton, OH",Badin (OH),Xavier
Bob Nunge,35,SR,G,6-6,190.0,"Newburgh, IN",Castle (IN),Xavier
Henry Thole,15,FR,F,6-7,215.0,"Union, KY",Villa Madonna Academy (KY),Xavier
Michael Wolf,25,JR,G,6-0,185.0,"Greenwood Village, CO",Regis Jesuit (CO),Xavier
John Poulakidas,4,SR,G,6-5,190.0,"Naperville, IL",Neuqua Valley HS,Yale
Nick Townsend,42,JR,F,6-7,250.0,"Chappaqua, NY",Horace Greeley (NY); The Hotchkiss School (CT),Yale
Bez Mbeng,2,SR,G,6-4,195.0,"Potomac, MD",Our Lady of Good Counsel HS,Yale
Casey Simmons,14,JR,G,6-6,180.0,"Milton, MA",Milton Academy,Yale
Samson Aletan,10,SO,C,6-10,223.0,"Dallas, TX",Lake Highlands (TX),Yale
Isaac Celiscar,8,FR,F,6-6,210.0,,Winter Haven (FL),Yale
Trevor Mullin,11,SO,G,6-0,175.0,"Wellesley, MA",St. Sebastian's School (MA),Yale
Riley Fox,9,FR,F,6-6,195.0,,Conard (CT),Yale
Jack Molloy,33,SR,F,6-8,225.0,"Greenwich, CT",Hotchkiss School,Yale
Yassine Gharram,24,SR,G,6-3,185.0,"San Diego, CA",Foothills Christian HS,Yale
Jordan Brathwaite,3,FR,G,6-4,190.0,,Mount Saint Joseph (MD),Yale
Teo Rice,12,SR,G,6-2,190.0,"Bethesda, MD","Maret School, Phillips Exeter HS",Yale
Devon Arlington,44,JR,G,6-3,190.0,"San Marcos, CA",San Marcos (CA),Yale
Jeannot Basima,22,SO,G,6-4,190.0,"Goma, Democratic Republic of the Congo",John Carroll School (MD),Yale
Emir Buyukhanli,13,SR,G,6-5,210.0,"Ankara, TÃ¼rkiye",Ted Ankara College Foundation HS,Yale
